household_id,居住都道府県,居住市区町村,生活保護,児童手当,児童育成手当,児童扶養手当_最小
141,神奈川県,横浜市,126980.0,0.0,0.0,0.0
142,神奈川県,横浜市,126980.0,0.0,0.0,0.0
143,神奈川県,横浜市,126980.0,0.0,0.0,0.0
144,神奈川県,横浜市,129300.0,0.0,0.0,0.0
145,神奈川県,横浜市,131960.0,0.0,0.0,0.0
146,神奈川県,横浜市,129300.0,0.0,0.0,0.0
147,神奈川県,横浜市,131960.0,0.0,0.0,0.0
148,神奈川県,横浜市,126980.0,0.0,0.0,0.0
149,神奈川県,横浜市,126980.0,0.0,0.0,0.0
150,神奈川県,横浜市,129300.0,0.0,0.0,0.0
151,神奈川県,横浜市,126980.0,0.0,0.0,0.0
152,神奈川県,横浜市,129300.0,0.0,0.0,0.0
153,神奈川県,横浜市,129300.0,0.0,0.0,0.0
154,神奈川県,横浜市,126980.0,0.0,0.0,0.0
155,神奈川県,横浜市,126980.0,0.0,0.0,0.0
156,神奈川県,横浜市,126980.0,0.0,0.0,0.0
157,神奈川県,横浜市,129300.0,0.0,0.0,0.0
158,神奈川県,横浜市,126980.0,0.0,0.0,0.0
159,神奈川県,横浜市,129300.0,0.0,0.0,0.0
160,神奈川県,横浜市,126980.0,0.0,0.0,0.0
161,神奈川県,横浜市,129300.0,0.0,0.0,0.0
162,神奈川県,横浜市,131960.0,0.0,0.0,0.0
163,神奈川県,横浜市,131960.0,0.0,0.0,0.0
164,神奈川県,横浜市,126980.0,0.0,0.0,0.0
165,神奈川県,横浜市,126980.0,0.0,0.0,0.0
166,神奈川県,横浜市,131960.0,0.0,0.0,0.0
167,神奈川県,横浜市,126980.0,0.0,0.0,0.0
168,神奈川県,横浜市,131960.0,0.0,0.0,0.0
169,神奈川県,横浜市,126980.0,0.0,0.0,0.0
170,神奈川県,横浜市,131960.0,0.0,0.0,0.0
171,神奈川県,横浜市,126980.0,0.0,0.0,0.0
172,神奈川県,横浜市,126980.0,0.0,0.0,0.0
173,神奈川県,横浜市,131960.0,0.0,0.0,0.0
174,神奈川県,横浜市,126980.0,0.0,0.0,0.0
175,神奈川県,横浜市,126980.0,0.0,0.0,0.0
